m,b
0.0030000000000000035,0.016333333333333335

x0,A,B,k
11.747206125236485,0.393,-0.01204268133248006,0.24057270271692854

Transition Syn,2

0.017
0.018000000000000002
0.023
0.026000000000000002
0.031
0.048
0.069
0.10400000000000001
0.122
0.14400000000000002
0.167
0.184
0.197
0.213
0.22
0.24
0.263
0.28800000000000003
0.304
0.314
0.325
0.342
0.352
0.36
0.368
0.363
0.367
0.374
0.374
0.378
0.382
0.387
0.382
0.385
0.382
0.391
0.385
0.388
0.393
0.39
0.389
