m,b
0.0033333333333333314,0.021833333333333326

x0,A,B,k
10.888288052882434,0.434,-0.038292697976230555,0.3690871388876804

Transition Syn,7

0.002
0.028
0.051000000000000004
0.058
0.015
0.032
0.02
0.062
0.065
0.079
0.11800000000000001
0.17200000000000001
0.234
0.316
0.309
0.34500000000000003
0.319
0.311
0.343
0.359
0.366
0.374
0.375
0.383
0.384
0.401
0.391
0.399
0.375
0.366
0.391
0.389
0.41100000000000003
0.40700000000000003
0.41000000000000003
0.397
0.41100000000000003
0.401
0.41500000000000004
0.42
0.434
