m,b
0.008800000000000002,-0.0014222222222222292

x0,A,B,k
11.096018865733114,0.405,-0.016790365488535536,0.4245032561426219

Transition Syn,8

0.0
0.006
0.021
0.022
0.035
0.04
0.045
0.06
0.075
0.09
0.11800000000000001
0.167
0.253
0.29
0.31
0.322
0.33
0.343
0.35100000000000003
0.358
0.359
0.367
0.37
0.375
0.377
0.383
0.385
0.387
0.389
0.393
0.392
0.394
0.394
0.396
0.394
0.398
0.399
0.4
0.405
0.402
0.403
