m,b
0.006533333333333334,0.014088888888888894

x0,A,B,k
10.993957582703207,0.399,-0.015986998359527688,0.4498836213930975

Transition Syn,8

0.014
0.023
0.031
0.029
0.038
0.047
0.05
0.059000000000000004
0.07100000000000001
0.08700000000000001
0.123
0.182
0.256
0.291
0.309
0.319
0.332
0.339
0.34700000000000003
0.353
0.359
0.364
0.369
0.372
0.372
0.378
0.381
0.382
0.385
0.388
0.387
0.392
0.391
0.39
0.393
0.394
0.396
0.394
0.395
0.399
0.398
