m,b
0.004607142857142857,0.020249999999999994

x0,A,B,k
10.728345265861275,0.393,-0.014529234764906598,0.42423084255159466

Transition Syn,7

0.023
0.026000000000000002
0.028
0.032
0.037
0.041
0.047
0.057
0.068
0.094
0.134
0.199
0.265
0.29
0.305
0.318
0.329
0.336
0.343
0.34900000000000003
0.354
0.358
0.364
0.369
0.372
0.373
0.376
0.377
0.378
0.38
0.38
0.384
0.385
0.388
0.387
0.391
0.389
0.391
0.393
0.39
0.391
