m,b
0.0033428571428571435,0.01947619047619048

x0,A,B,k
9.953712260319248,0.373,-0.015617856286709707,0.3683070580812113

Transition Syn,5

0.022
0.022
0.025
0.027
0.032
0.039
0.048
0.065
0.091
0.127
0.18
0.23
0.26
0.276
0.28700000000000003
0.3
0.31
0.316
0.322
0.328
0.334
0.337
0.342
0.34500000000000003
0.34800000000000003
0.352
0.352
0.355
0.357
0.36
0.36
0.362
0.365
0.366
0.366
0.369
0.368
0.37
0.369
0.372
0.373
