m,b
0.0026428571428571395,0.02892857142857145

x0,A,B,k
10.22944704038097,0.379,-0.014979301036904572,0.3961527953153629

Transition Syn,6

0.031
0.032
0.033
0.035
0.038
0.041
0.048
0.058
0.076
0.11
0.163
0.229
0.261
0.28300000000000003
0.296
0.305
0.316
0.325
0.329
0.336
0.342
0.34800000000000003
0.35100000000000003
0.352
0.355
0.359
0.36
0.363
0.364
0.365
0.368
0.369
0.37
0.371
0.373
0.372
0.376
0.376
0.377
0.377
0.379
