m,b
0.004571428571428569,0.018714285714285735

x0,A,B,k
10.275193192833697,0.381,-0.014440284678893403,0.38959788588037675

Transition Syn,6

0.021
0.023
0.027
0.031
0.035
0.041
0.049
0.062
0.08
0.114
0.163
0.225
0.262
0.28200000000000003
0.296
0.305
0.317
0.325
0.333
0.338
0.34400000000000003
0.34800000000000003
0.35100000000000003
0.355
0.358
0.359
0.364
0.365
0.367
0.368
0.37
0.372
0.373
0.374
0.376
0.377
0.377
0.378
0.38
0.381
0.381
