m,b
0.004800000000000003,0.0282

x0,A,B,k
6.866602059520623,0.389,-0.019620413038532056,0.5475091328060878

Transition Syn,4

0.031
0.033
0.033
0.041
0.051000000000000004
0.079
0.108
0.192
0.257
0.289
0.311
0.322
0.328
0.338
0.331
0.34600000000000003
0.354
0.367
0.369
0.368
0.371
0.36
0.365
0.373
0.374
0.372
0.376
0.367
0.378
0.374
0.37
0.376
0.377
0.374
0.376
0.371
0.376
0.377
0.378
0.379
0.389
