m,b
0.0021151515151515156,0.00778181818181818

x0,A,B,k
17.49363029061942,0.216,0.006153066674595797,0.2644654298994994

Transition Syn,9

0.006
0.012
0.014
0.014
0.014
0.021
0.017
0.021
0.025
0.029
0.025
0.034
0.044
0.052000000000000005
0.058
0.075
0.091
0.106
0.12
0.13
0.14400000000000002
0.158
0.183
0.186
0.197
0.20500000000000002
0.203
0.212
0.21
0.21
0.215
0.214
0.213
0.215
0.214
0.216
0.216
0.216
0.216
0.216
0.216
