m,b
0.002885714285714283,0.020952380952380965

x0,A,B,k
9.8915723529913,0.383,-0.025381344812655866,0.3410601748414919

Transition Syn,5

0.021
0.027
0.026000000000000002
0.025
0.031
0.039
0.034
0.075
0.082
0.126
0.167
0.226
0.255
0.27
0.28700000000000003
0.3
0.314
0.307
0.324
0.324
0.333
0.333
0.342
0.338
0.339
0.34400000000000003
0.35000000000000003
0.352
0.352
0.355
0.364
0.362
0.356
0.36
0.372
0.373
0.36
0.373
0.383
0.369
0.381
