m,b
0.002199999999999997,0.0232

x0,A,B,k
16.598271989232178,0.503,-0.014390095836905774,0.17209059844718166

Transition Syn,3

0.025
0.022
0.029
0.03
0.033
0.035
0.056
0.048
0.063
0.077
0.10400000000000001
0.128
0.151
0.179
0.198
0.219
0.234
0.257
0.28800000000000003
0.291
0.304
0.317
0.336
0.35000000000000003
0.376
0.379
0.394
0.398
0.417
0.429
0.442
0.45
0.459
0.462
0.467
0.47500000000000003
0.47800000000000004
0.484
0.49
0.496
0.503
