RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,10,6,8,,1.00E+01,7,7,7.00E+00,,,,,,,,,,
,,5,4,5,,8.00E+00,5,3,3.00E+00,,,,,,,,,,
,,7,6,6,,5.00E+00,6,6,4.00E+00,,,,,,,,,,
,,9,5,7,,7.00E+00,5,5,6.00E+00,,,,,,,,,,
,,5,2,4,,4.00E+00,3,4,4.00E+00,,,,,,,,,,
,,5,6,4,,6.00E+00,7,3,4.00E+00,,,,,,,,,,
,,8,5,6,,7.00E+00,6,6,4.00E+00,,,,,,,,,,
,,4,5,2,,6.00E+00,6,2,4.00E+00,,,,,,,,,,
,,6,7,6,,1.00E+01,6,5,6.00E+00,,,,,,,,,,
,,6,4,4,,6.00E+00,6,4,5.00E+00,,,,,,,,,,
,,6,4,4,,5.00E+00,6,4,5.00E+00,,,,,,,,,,
,,2,5,4,,6.00E+00,5,4,3.00E+00,,,,,,,,,,
,,5,5,3,,6.00E+00,4,4,4.00E+00,,,,,,,,,,
,,7,5,8,,6.00E+00,2,5,4.00E+00,,,,,,,,,,
,,9,8,7,,8.00E+00,7,2,4.00E+00,,,,,,,,,,
,,5,6,7,,9.00E+00,8,2,9.00E+00,,,,,,,,,,
,,6,6,4,,6.00E+00,7,4,5.00E+00,,,,,,,,,,
,,5,3,6,,7.00E+00,5,6,5.00E+00,,,,,,,,,,
,,5,4,5,,7.00E+00,5,5,3.00E+00,,,,,,,,,,
,,8,4,5,,8.00E+00,6,4,5.00E+00,,,,,,,,,,
,,4,5,8,,4.00E+00,3,3,4.00E+00,,,,,,,,,,
,,4,6,9,,4.00E+00,3,4,4.00E+00,,,,,,,,,,
,,6,5,8,,1.00E+01,5,5,9.00E+00,,,,,,,,,,
,,5,3,3,,4.00E+00,2,2,2.00E+00,,,,,,,,,,
,,5,3,7,,7.00E+00,6,6,5.00E+00,,,,,,,,,,
,,4,5,5,,9.00E+00,5,3,4.00E+00,,,,,,,,,,
,,5,7,8,,7.00E+00,6,5,7.00E+00,,,,,,,,,,
,,2,4,6,,5.00E+00,3,1,2.00E+00,,,,,,,,,,
,,7,6,8,,9.00E+00,5,5,5.00E+00,,,,,,,,,,
,,6,6,6,,8.00E+00,7,5,5.00E+00,,,,,,,,,,
,,5,3,4,,6.00E+00,4,4,3.00E+00,,,,,,,,,,
,,5,3,8,,5.00E+00,5,3,5.00E+00,,,,,,,,,,
,,5,3,8,,6.00E+00,6,4,3.00E+00,,,,,,,,,,
,,9,6,6,,7.00E+00,6,2,6.00E+00,,,,,,,,,,
,,6,5,6,,8.00E+00,7,7,8.00E+00,,,,,,,,,,
,,8,6,6,,1.00E+01,5,4,4.00E+00,,,,,,,,,,
,,5,4,5,,5.00E+00,5,2,4.00E+00,,,,,,,,,,
,,6,5,10,,7.00E+00,4,7,6.00E+00,,,,,,,,,,
,,4,4,5,,6.00E+00,6,4,3.00E+00,,,,,,,,,,
,,6,3,7,,8.00E+00,6,5,4.00E+00,,,,,,,,,,
,,6,3,7,,7.00E+00,8,3,5.00E+00,,,,,,,,,,
,,6,4,4,,5.00E+00,6,5,5.00E+00,,,,,,,,,,
,,5,5,5,,5.00E+00,5,6,4.00E+00,,,,,,,,,,
,,6,7,8,,1.00E+01,6,8,7.00E+00,,,,,,,,,,
,,5,4,6,,6.00E+00,6,5,3.00E+00,,,,,,,,,,
,,7,5,5,,6.00E+00,7,4,9.00E+00,,,,,,,,,,
,,7,4,5,,1.10E+01,7,5,5.00E+00,,,,,,,,,,
,,5,5,7,,7.00E+00,5,6,4.00E+00,,,,,,,,,,
,,6,4,4,,4.00E+00,2,1,4.00E+00,,,,,,,,,,
,,5,4,4,,5.00E+00,3,4,4.00E+00,,,,,,,,,,
,,5,5,9,,7.00E+00,6,6,6.00E+00,,,,,,,,,,
,,7,4,6,,6.00E+00,7,5,7.00E+00,,,,,,,,,,
,,6,4,3,,6.00E+00,5,4,6.00E+00,,,,,,,,,,
,,8,7,8,,9.00E+00,8,4,4.00E+00,,,,,,,,,,
,,5,6,6,,7.00E+00,6,6,5.00E+00,,,,,,,,,,
,,7,5,5,,4.00E+00,2,5,4.00E+00,,,,,,,,,,
,,7,3,3,,7.00E+00,6,7,7.00E+00,,,,,,,,,,
,,6,6,4,,8.00E+00,6,5,6.00E+00,,,,,,,,,,
,,6,4,9,,8.00E+00,6,6,5.00E+00,,,,,,,,,,
,,5,6,3,,6.00E+00,5,6,7.00E+00,,,,,,,,,,
,,9,4,9,,6.00E+00,7,6,5.00E+00,,,,,,,,,,
,,7,3,4,,5.00E+00,5,3,4.00E+00,,,,,,,,,,
,,10,7,6,,1.00E+01,8,6,7.00E+00,,,,,,,,,,
,,4,4,6,,6.00E+00,6,5,3.00E+00,,,,,,,,,,
,,3,2,3,,2.00E+00,4,2,4.00E+00,,,,,,,,,,
,,6,3,4,,2.00E+00,3,4,3.00E+00,,,,,,,,,,
,,7,4,6,,1.00E+01,6,6,4.00E+00,,,,,,,,,,
,,4,5,8,,9.00E+00,6,4,7.00E+00,,,,,,,,,,
,,6,4,7,,7.00E+00,4,5,4.00E+00,,,,,,,,,,
,,6,6,3,,7.00E+00,6,4,6.00E+00,,,,,,,,,,
,,5,4,3,,5.00E+00,4,3,3.00E+00,,,,,,,,,,
,,3,4,4,,7.00E+00,4,5,4.00E+00,,,,,,,,,,
,,9,6,10,,1.00E+01,8,6,7.00E+00,,,,,,,,,,
,,8,5,5,,9.00E+00,4,7,6.00E+00,,,,,,,,,,
,,6,4,6,,9.00E+00,5,3,7.00E+00,,,,,,,,,,
,,5,3,5,,5.00E+00,8,5,6.00E+00,,,,,,,,,,
,,8,4,5,,6.00E+00,2,5,5.00E+00,,,,,,,,,,
,,5,4,8,,6.00E+00,5,5,7.00E+00,,,,,,,,,,
,,3,2,3,,5.00E+00,2,3,4.00E+00,,,,,,,,,,
,,8,7,6,,9.00E+00,6,6,5.00E+00,,,,,,,,,,
,,8,3,6,,7.00E+00,5,6,3.00E+00,,,,,,,,,,
,,6,6,9,,8.00E+00,7,9,6.00E+00,,,,,,,,,,
,,5,5,4,,6.00E+00,5,2,6.00E+00,,,,,,,,,,
,,9,4,4,,8.00E+00,7,5,4.00E+00,,,,,,,,,,
,,9,6,7,,8.00E+00,10,6,4.00E+00,,,,,,,,,,
,,3,1,3,,5.00E+00,1,3,2.00E+00,,,,,,,,,,
,,7,5,7,,8.00E+00,9,6,6.00E+00,,,,,,,,,,
,,4,4,3,,4.00E+00,3,2,4.00E+00,,,,,,,,,,
,,7,6,6,,7.00E+00,5,3,5.00E+00,,,,,,,,,,
,,7,5,9,,1.10E+01,6,5,7.00E+00,,,,,,,,,,
,,7,6,6,,7.00E+00,7,2,5.00E+00,,,,,,,,,,
,,7,5,7,,9.00E+00,5,4,7.00E+00,,,,,,,,,,
,,6,4,7,,7.00E+00,6,6,6.00E+00,,,,,,,,,,
,,8,4,7,,6.00E+00,3,3,7.00E+00,,,,,,,,,,
,,6,6,7,,5.00E+00,7,7,6.00E+00,,,,,,,,,,
,,5,6,9,,9.00E+00,4,3,4.00E+00,,,,,,,,,,
,,6,9,6,,7.00E+00,6,4,5.00E+00,,,,,,,,,,
,,8,5,7,,8.00E+00,5,6,7.00E+00,,,,,,,,,,
,,6,5,6,,6.00E+00,4,4,6.00E+00,,,,,,,,,,
,,7,6,8,,9.00E+00,8,5,8.00E+00,,,,,,,,,,
,,4,6,4,,7.00E+00,4,4,6.00E+00,,,,,,,,,,
,,8,7,6,,8.00E+00,6,4,9.00E+00,,,,,,,,,,
,,7,6,6,,8.00E+00,7,5,8.00E+00,,,,,,,,,,
,,5,4,7,,5.00E+00,5,6,7.00E+00,,,,,,,,,,
,,7,7,5,,7.00E+00,4,4,5.00E+00,,,,,,,,,,
,,6,4,5,,5.00E+00,4,4,5.00E+00,,,,,,,,,,
,,6,3,5,,7.00E+00,4,5,4.00E+00,,,,,,,,,,
,,5,3,3,,5.00E+00,1,2,4.00E+00,,,,,,,,,,
,,7,5,5,,6.00E+00,4,6,5.00E+00,,,,,,,,,,
,,6,6,8,,5.00E+00,3,4,5.00E+00,,,,,,,,,,
,,4,3,3,,3.00E+00,2,3,4.00E+00,,,,,,,,,,
,,6,4,5,,8.00E+00,7,4,7.00E+00,,,,,,,,,,
,,5,4,6,,5.00E+00,6,4,5.00E+00,,,,,,,,,,
,,7,8,6,,9.00E+00,6,7,7.00E+00,,,,,,,,,,
,,7,7,8,,9.00E+00,6,5,8.00E+00,,,,,,,,,,
,,6,6,7,,9.00E+00,9,8,6.00E+00,,,,,,,,,,
,,10,9,8,,1.00E+01,6,5,8.00E+00,,,,,,,,,,
,,9,5,8,,1.10E+01,7,4,5.00E+00,,,,,,,,,,
,,3,5,4,,7.00E+00,5,5,7.00E+00,,,,,,,,,,
,,5,6,7,,1.00E+01,7,5,7.00E+00,,,,,,,,,,
,,6,4,5,,9.00E+00,3,5,5.00E+00,,,,,,,,,,
,,7,6,9,,1.00E+01,7,6,9.00E+00,,,,,,,,,,
,,7,4,5,,6.00E+00,4,4,6.00E+00,,,,,,,,,,
,,8,8,7,,9.00E+00,9,5,6.00E+00,,,,,,,,,,
,,3,4,4,,6.00E+00,6,5,3.00E+00,,,,,,,,,,
,,6,5,6,,7.00E+00,7,6,3.00E+00,,,,,,,,,,
,,7,3,6,,9.00E+00,7,4,4.00E+00,,,,,,,,,,
,,6,6,5,,5.00E+00,6,3,6.00E+00,,,,,,,,,,
,,2,5,4,,4.00E+00,2,4,3.00E+00,,,,,,,,,,
,,6,7,5,,7.00E+00,5,6,5.00E+00,,,,,,,,,,
,,5,7,6,,7.00E+00,5,3,5.00E+00,,,,,,,,,,
,,7,5,7,,9.00E+00,6,5,7.00E+00,,,,,,,,,,
,,4,6,6,,6.00E+00,7,4,1.00E+00,,,,,,,,,,
,,6,6,6,,7.00E+00,1,5,7.00E+00,,,,,,,,,,
,,7,5,9,,9.00E+00,8,5,5.00E+00,,,,,,,,,,
,,7,6,7,,7.00E+00,4,5,5.00E+00,,,,,,,,,,
,,4,6,7,,7.00E+00,6,4,5.00E+00,,,,,,,,,,
,,7,4,8,,1.00E+01,8,5,8.00E+00,,,,,,,,,,
,,10,6,8,,8.00E+00,7,5,7.00E+00,,,,,,,,,,
,,6,5,6,,7.00E+00,7,2,3.00E+00,,,,,,,,,,
,,5,5,5,,7.00E+00,7,2,6.00E+00,,,,,,,,,,
,,6,5,5,,6.00E+00,5,4,6.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,5,5,6.00E+00,,,,,,,,,,
,,7,6,9,,1.00E+01,8,6,5.00E+00,,,,,,,,,,
,,7,5,4,,5.00E+00,5,4,7.00E+00,,,,,,,,,,
,,7,3,3,,2.00E+00,3,3,5.00E+00,,,,,,,,,,
,,4,7,7,,5.00E+00,4,6,5.00E+00,,,,,,,,,,
,,6,6,5,,9.00E+00,7,6,4.00E+00,,,,,,,,,,
,,8,7,9,,8.00E+00,5,5,7.00E+00,,,,,,,,,,
,,6,6,7,,7.00E+00,8,4,6.00E+00,,,,,,,,,,
,,6,7,8,,1.00E+01,5,4,4.00E+00,,,,,,,,,,
,,5,3,5,,5.00E+00,5,4,3.00E+00,,,,,,,,,,
,,6,5,6,,6.00E+00,2,4,5.00E+00,,,,,,,,,,
,,7,5,7,,7.00E+00,3,4,6.00E+00,,,,,,,,,,
,,9,5,6,,8.00E+00,5,6,8.00E+00,,,,,,,,,,
,,7,6,8,,8.00E+00,7,3,8.00E+00,,,,,,,,,,
,,5,6,6,,8.00E+00,6,5,8.00E+00,,,,,,,,,,
,,5,6,4,,8.00E+00,11,4,6.00E+00,,,,,,,,,,
,,5,4,5,,6.00E+00,4,4,4.00E+00,,,,,,,,,,
,,7,5,9,,9.00E+00,8,7,9.00E+00,,,,,,,,,,
,,10,10,11,,9.00E+00,6,10,8.00E+00,,,,,,,,,,
,,7,5,6,,6.00E+00,5,6,6.00E+00,,,,,,,,,,
,,7,3,5,,8.00E+00,4,6,5.00E+00,,,,,,,,,,
,,7,6,7,,7.00E+00,8,6,5.00E+00,,,,,,,,,,
,,4,7,6,,5.00E+00,7,2,5.00E+00,,,,,,,,,,
,,6,4,4,,8.00E+00,5,5,4.00E+00,,,,,,,,,,
,,5,5,8,,8.00E+00,5,4,5.00E+00,,,,,,,,,,
,,10,6,7,,8.00E+00,7,9,8.00E+00,,,,,,,,,,
,,6,6,8,,6.00E+00,6,5,6.00E+00,,,,,,,,,,
,,4,7,7,,1.00E+01,6,3,5.00E+00,,,,,,,,,,
,,6,4,7,,8.00E+00,3,6,7.00E+00,,,,,,,,,,
,,7,7,6,,8.00E+00,3,6,4.00E+00,,,,,,,,,,
,,8,7,6,,8.00E+00,6,8,6.00E+00,,,,,,,,,,
,,6,4,4,,6.00E+00,6,5,6.00E+00,,,,,,,,,,
,,5,10,6,,8.00E+00,4,4,5.00E+00,,,,,,,,,,
,,5,9,7,,8.00E+00,6,7,3.00E+00,,,,,,,,,,
,,3,6,5,,5.00E+00,3,1,3.00E+00,,,,,,,,,,
,,5,4,5,,8.00E+00,3,3,4.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,4,5,4.00E+00,,,,,,,,,,
,,7,6,8,,8.00E+00,8,6,3.00E+00,,,,,,,,,,
,,10,5,7,,7.00E+00,5,5,8.00E+00,,,,,,,,,,
,,5,4,8,,6.00E+00,4,3,6.00E+00,,,,,,,,,,
,,6,5,7,,7.00E+00,8,3,5.00E+00,,,,,,,,,,
,,6,4,3,,7.00E+00,3,3,4.00E+00,,,,,,,,,,
,,4,3,6,,5.00E+00,4,4,3.00E+00,,,,,,,,,,
,,6,5,5,,9.00E+00,6,3,6.00E+00,,,,,,,,,,
,,3,4,5,,5.00E+00,3,3,5.00E+00,,,,,,,,,,
,,7,5,6,,5.00E+00,6,4,6.00E+00,,,,,,,,,,
,,6,10,8,,7.00E+00,6,5,8.00E+00,,,,,,,,,,
,,10,6,11,,1.00E+01,6,8,5.00E+00,,,,,,,,,,
,,8,3,5,,7.00E+00,9,5,8.00E+00,,,,,,,,,,
,,6,3,4,,6.00E+00,5,3,6.00E+00,,,,,,,,,,
,,3,3,6,,6.00E+00,4,5,6.00E+00,,,,,,,,,,
,,3,4,5,,5.00E+00,5,6,7.00E+00,,,,,,,,,,
,,6,4,5,,9.00E+00,5,7,7.00E+00,,,,,,,,,,
,,5,5,5,,1.10E+01,9,6,5.00E+00,,,,,,,,,,
,,1,3,3,,2.00E+00,3,3,3.00E+00,,,,,,,,,,
,,5,3,5,,5.00E+00,6,3,7.00E+00,,,,,,,,,,
,,5,5,5,,7.00E+00,7,5,6.00E+00,,,,,,,,,,
,,5,4,5,,3.00E+00,2,1,5.00E+00,,,,,,,,,,
,,9,4,6,,1.00E+01,8,7,4.00E+00,,,,,,,,,,
,,3,4,5,,6.00E+00,3,4,5.00E+00,,,,,,,,,,
,,5,2,2,,5.00E+00,3,3,4.00E+00,,,,,,,,,,
,,8,6,6,,4.00E+00,6,6,6.00E+00,,,,,,,,,,
,,3,7,9,,1.10E+01,8,4,7.00E+00,,,,,,,,,,
,,8,5,9,,8.00E+00,4,5,4.00E+00,,,,,,,,,,
,,3,6,7,,6.00E+00,5,3,2.00E+00,,,,,,,,,,
,,4,4,6,,5.00E+00,4,2,2.00E+00,,,,,,,,,,
,,6,5,7,,6.00E+00,4,7,6.00E+00,,,,,,,,,,
,,7,5,3,,7.00E+00,4,2,5.00E+00,,,,,,,,,,
,,8,5,8,,8.00E+00,5,2,4.00E+00,,,,,,,,,,
,,5,5,4,,6.00E+00,8,5,4.00E+00,,,,,,,,,,
,,4,3,8,,7.00E+00,4,4,5.00E+00,,,,,,,,,,
,,6,4,2,,7.00E+00,7,5,5.00E+00,,,,,,,,,,
,,6,5,5,,4.00E+00,6,4,5.00E+00,,,,,,,,,,
,,5,7,7,,7.00E+00,7,4,6.00E+00,,,,,,,,,,
,,5,5,6,,6.00E+00,3,4,5.00E+00,,,,,,,,,,
,,6,4,5,,5.00E+00,4,3,5.00E+00,,,,,,,,,,
,,8,6,7,,8.00E+00,7,9,8.00E+00,,,,,,,,,,
,,9,7,10,,9.00E+00,6,7,7.00E+00,,,,,,,,,,
,,6,7,3,,4.00E+00,5,3,3.00E+00,,,,,,,,,,
,,4,5,4,,6.00E+00,6,4,3.00E+00,,,,,,,,,,
,,8,6,8,,8.00E+00,7,4,6.00E+00,,,,,,,,,,
,,7,8,7,,1.10E+01,7,5,1.00E+01,,,,,,,,,,
,,6,6,8,,1.00E+01,6,4,4.00E+00,,,,,,,,,,
,,5,5,5,,3.00E+00,5,3,5.00E+00,,,,,,,,,,
,,5,3,7,,5.00E+00,4,3,6.00E+00,,,,,,,,,,
,,8,7,3,,9.00E+00,7,3,5.00E+00,,,,,,,,,,
,,4,4,7,,4.00E+00,7,5,5.00E+00,,,,,,,,,,
,,5,5,5,,7.00E+00,7,5,4.00E+00,,,,,,,,,,
,,7,3,6,,6.00E+00,5,4,3.00E+00,,,,,,,,,,
,,4,3,5,,8.00E+00,7,6,7.00E+00,,,,,,,,,,
,,6,5,6,,6.00E+00,5,5,6.00E+00,,,,,,,,,,
,,3,1,6,,3.00E+00,4,4,3.00E+00,,,,,,,,,,
,,5,3,5,,5.00E+00,6,3,5.00E+00,,,,,,,,,,
,,4,4,5,,8.00E+00,5,4,5.00E+00,,,,,,,,,,
,,3,5,6,,6.00E+00,6,4,6.00E+00,,,,,,,,,,
,,6,6,6,,9.00E+00,6,8,6.00E+00,,,,,,,,,,
,,7,4,7,,9.00E+00,9,8,9.00E+00,,,,,,,,,,
,,8,6,4,,2.00E+00,4,5,8.00E+00,,,,,,,,,,
,,6,2,4,,7.00E+00,6,4,3.00E+00,,,,,,,,,,
,,7,4,6,,7.00E+00,6,7,8.00E+00,,,,,,,,,,
,,5,4,5,,5.00E+00,6,2,4.00E+00,,,,,,,,,,
,,6,7,5,,5.00E+00,5,4,4.00E+00,,,,,,,,,,
,,5,7,4,,8.00E+00,9,6,7.00E+00,,,,,,,,,,
,,6,6,6,,8.00E+00,6,2,7.00E+00,,,,,,,,,,
,,6,6,8,,9.00E+00,6,6,6.00E+00,,,,,,,,,,
,,8,3,5,,7.00E+00,5,5,6.00E+00,,,,,,,,,,
,,5,5,6,,7.00E+00,4,6,5.00E+00,,,,,,,,,,
,,5,5,7,,7.00E+00,7,5,4.00E+00,,,,,,,,,,
,,6,7,7,,7.00E+00,4,3,4.00E+00,,,,,,,,,,
,,7,4,7,,7.00E+00,6,6,6.00E+00,,,,,,,,,,
,,6,4,6,,8.00E+00,6,3,5.00E+00,,,,,,,,,,
,,8,6,7,,8.00E+00,7,4,5.00E+00,,,,,,,,,,
,,5,5,4,,8.00E+00,5,4,4.00E+00,,,,,,,,,,
,,5,5,6,,6.00E+00,5,4,7.00E+00,,,,,,,,,,
,,6,6,4,,5.00E+00,6,5,5.00E+00,,,,,,,,,,
,,6,7,4,,8.00E+00,7,4,6.00E+00,,,,,,,,,,
,,8,4,9,,8.00E+00,6,5,7.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,4,5,3.00E+00,,,,,,,,,,
,,13,7,7,,9.00E+00,9,5,8.00E+00,,,,,,,,,,
,,3,3,3,,4.00E+00,2,3,3.00E+00,,,,,,,,,,
,,4,4,7,,9.00E+00,3,4,5.00E+00,,,,,,,,,,
,,7,6,10,,7.00E+00,6,3,3.00E+00,,,,,,,,,,
,,5,6,5,,6.00E+00,2,2,5.00E+00,,,,,,,,,,
,,4,4,6,,6.00E+00,7,4,4.00E+00,,,,,,,,,,
,,8,6,7,,7.00E+00,6,6,5.00E+00,,,,,,,,,,
,,4,5,7,,8.00E+00,6,5,3.00E+00,,,,,,,,,,
,,4,5,5,,7.00E+00,3,5,6.00E+00,,,,,,,,,,
,,4,4,5,,6.00E+00,4,2,3.00E+00,,,,,,,,,,
,,7,4,8,,9.00E+00,7,3,6.00E+00,,,,,,,,,,
,,3,6,3,,6.00E+00,3,2,5.00E+00,,,,,,,,,,
,,4,4,4,,4.00E+00,4,4,5.00E+00,,,,,,,,,,
,,4,5,4,,7.00E+00,8,2,6.00E+00,,,,,,,,,,
,,7,4,4,,4.00E+00,4,5,5.00E+00,,,,,,,,,,
,,5,4,8,,4.00E+00,6,6,4.00E+00,,,,,,,,,,
,,4,5,6,,6.00E+00,4,5,6.00E+00,,,,,,,,,,
,,6,5,8,,1.00E+01,8,5,5.00E+00,,,,,,,,,,
,,6,5,4,,7.00E+00,7,3,3.00E+00,,,,,,,,,,
,,5,3,5,,7.00E+00,4,3,5.00E+00,,,,,,,,,,
,,6,6,6,,4.00E+00,2,4,5.00E+00,,,,,,,,,,
,,6,7,8,,7.00E+00,4,5,5.00E+00,,,,,,,,,,
,,4,4,5,,5.00E+00,4,5,4.00E+00,,,,,,,,,,
,,6,5,6,,6.00E+00,5,3,5.00E+00,,,,,,,,,,
,,5,2,6,,4.00E+00,4,2,4.00E+00,,,,,,,,,,
,,7,6,6,,8.00E+00,6,7,4.00E+00,,,,,,,,,,
,,6,4,6,,7.00E+00,4,5,7.00E+00,,,,,,,,,,
,,4,5,6,,7.00E+00,5,6,3.00E+00,,,,,,,,,,
,,6,2,5,,4.00E+00,4,8,2.00E+00,,,,,,,,,,
,,7,7,7,,8.00E+00,6,5,4.00E+00,,,,,,,,,,
,,6,5,4,,5.00E+00,6,5,6.00E+00,,,,,,,,,,
,,6,4,4,,6.00E+00,4,5,3.00E+00,,,,,,,,,,
,,11,5,5,,1.20E+01,7,5,5.00E+00,,,,,,,,,,
,,7,5,7,,7.00E+00,6,3,4.00E+00,,,,,,,,,,
,,6,6,5,,9.00E+00,5,4,4.00E+00,,,,,,,,,,
,,3,5,4,,4.00E+00,4,1,5.00E+00,,,,,,,,,,
,,9,9,9,,8.00E+00,11,6,4.00E+00,,,,,,,,,,
,,6,5,7,,8.00E+00,4,5,7.00E+00,,,,,,,,,,
,,3,4,6,,6.00E+00,5,5,4.00E+00,,,,,,,,,,
,,7,5,5,,5.00E+00,5,3,5.00E+00,,,,,,,,,,
,,6,5,6,,7.00E+00,6,4,5.00E+00,,,,,,,,,,
,,6,3,6,,7.00E+00,5,5,5.00E+00,,,,,,,,,,
,,6,5,5,,6.00E+00,5,5,7.00E+00,,,,,,,,,,
,,2,3,5,,3.00E+00,3,4,3.00E+00,,,,,,,,,,
,,7,4,8,,7.00E+00,7,4,5.00E+00,,,,,,,,,,
,,9,6,5,,6.00E+00,6,6,7.00E+00,,,,,,,,,,
,,4,4,7,,7.00E+00,6,1,5.00E+00,,,,,,,,,,
,,7,8,6,,9.00E+00,8,5,7.00E+00,,,,,,,,,,
,,6,2,4,,5.00E+00,3,4,3.00E+00,,,,,,,,,,
,,4,5,5,,6.00E+00,6,3,2.00E+00,,,,,,,,,,
,,3,5,7,,3.00E+00,4,5,3.00E+00,,,,,,,,,,
,,3,5,4,,7.00E+00,4,3,4.00E+00,,,,,,,,,,
,,7,6,7,,7.00E+00,8,5,8.00E+00,,,,,,,,,,
,,6,7,6,,7.00E+00,6,5,6.00E+00,,,,,,,,,,
,,5,3,9,,5.00E+00,8,8,4.00E+00,,,,,,,,,,
,,4,4,5,,5.00E+00,5,6,6.00E+00,,,,,,,,,,
,,4,5,3,,4.00E+00,5,5,2.00E+00,,,,,,,,,,
,,8,6,6,,9.00E+00,6,6,9.00E+00,,,,,,,,,,
,,6,8,4,,5.00E+00,4,3,8.00E+00,,,,,,,,,,
,,5,5,8,,1.00E+01,8,4,4.00E+00,,,,,,,,,,
,,8,5,5,,8.00E+00,8,3,9.00E+00,,,,,,,,,,
,,9,8,4,,9.00E+00,9,6,9.00E+00,,,,,,,,,,
,,5,5,5,,5.00E+00,4,2,7.00E+00,,,,,,,,,,
,,7,6,4,,6.00E+00,4,5,6.00E+00,,,,,,,,,,
,,6,7,6,,8.00E+00,4,7,6.00E+00,,,,,,,,,,
,,7,3,2,,5.00E+00,3,2,5.00E+00,,,,,,,,,,
,,5,5,6,,6.00E+00,5,8,6.00E+00,,,,,,,,,,
,,6,4,9,,8.00E+00,6,6,5.00E+00,,,,,,,,,,
,,9,4,8,,9.00E+00,6,4,7.00E+00,,,,,,,,,,
,,5,3,6,,7.00E+00,5,2,7.00E+00,,,,,,,,,,
,,6,6,6,,7.00E+00,4,4,5.00E+00,,,,,,,,,,
,,4,5,6,,7.00E+00,6,4,6.00E+00,,,,,,,,,,
,,8,4,7,,8.00E+00,4,6,4.00E+00,,,,,,,,,,
,,6,7,6,,6.00E+00,6,6,8.00E+00,,,,,,,,,,
,,8,6,7,,7.00E+00,5,5,8.00E+00,,,,,,,,,,
,,6,4,5,,5.00E+00,5,2,5.00E+00,,,,,,,,,,
,,7,5,9,,9.00E+00,6,5,7.00E+00,,,,,,,,,,
,,5,4,3,,6.00E+00,6,1,1.00E+00,,,,,,,,,,
,,6,8,8,,9.00E+00,7,5,6.00E+00,,,,,,,,,,
,,7,7,9,,1.00E+01,8,10,6.00E+00,,,,,,,,,,
,,7,4,8,,5.00E+00,6,5,2.00E+00,,,,,,,,,,
,,5,6,8,,8.00E+00,7,6,5.00E+00,,,,,,,,,,
,,7,4,5,,7.00E+00,5,6,3.00E+00,,,,,,,,,,
,,4,2,4,,5.00E+00,3,5,4.00E+00,,,,,,,,,,
,,8,4,8,,6.00E+00,5,4,7.00E+00,,,,,,,,,,
,,4,6,7,,7.00E+00,3,5,5.00E+00,,,,,,,,,,
,,9,8,4,,8.00E+00,7,4,6.00E+00,,,,,,,,,,
,,5,3,6,,7.00E+00,4,6,4.00E+00,,,,,,,,,,
,,8,10,11,,1.20E+01,8,6,7.00E+00,,,,,,,,,,
,,8,6,7,,1.10E+01,8,4,5.00E+00,,,,,,,,,,
,,4,6,8,,1.00E+01,7,5,5.00E+00,,,,,,,,,,
,,6,6,7,,7.00E+00,5,7,4.00E+00,,,,,,,,,,
,,6,4,5,,8.00E+00,7,4,5.00E+00,,,,,,,,,,
,,8,4,9,,8.00E+00,7,5,9.00E+00,,,,,,,,,,
,,6,6,5,,7.00E+00,7,5,6.00E+00,,,,,,,,,,
,,5,5,4,,6.00E+00,1,3,4.00E+00,,,,,,,,,,
,,4,2,3,,4.00E+00,2,3,3.00E+00,,,,,,,,,,
,,5,4,8,,6.00E+00,8,6,8.00E+00,,,,,,,,,,
,,5,4,6,,7.00E+00,4,3,6.00E+00,,,,,,,,,,
,,6,4,6,,6.00E+00,5,4,4.00E+00,,,,,,,,,,
,,7,5,4,,6.00E+00,3,4,4.00E+00,,,,,,,,,,
,,6,3,5,,8.00E+00,5,6,8.00E+00,,,,,,,,,,
,,6,3,5,,5.00E+00,3,4,4.00E+00,,,,,,,,,,
,,6,4,5,,4.00E+00,3,3,4.00E+00,,,,,,,,,,
,,4,4,3,,4.00E+00,2,4,3.00E+00,,,,,,,,,,
,,6,6,7,,7.00E+00,5,3,6.00E+00,,,,,,,,,,
,,4,1,4,,7.00E+00,4,3,3.00E+00,,,,,,,,,,
,,8,5,9,,1.00E+01,9,4,6.00E+00,,,,,,,,,,
,,5,5,8,,7.00E+00,3,5,5.00E+00,,,,,,,,,,
,,8,4,7,,6.00E+00,4,4,8.00E+00,,,,,,,,,,
,,7,3,6,,7.00E+00,5,4,4.00E+00,,,,,,,,,,
,,5,7,8,,7.00E+00,6,4,7.00E+00,,,,,,,,,,
,,5,2,2,,2.00E+00,2,2,4.00E+00,,,,,,,,,,
,,4,6,7,,6.00E+00,5,4,4.00E+00,,,,,,,,,,
