m,b
0.005083333333333334,0.02344444444444443

x0,A,B,k
10.84564531261361,0.404,-0.023335236812134976,0.45208270080621776

Transition Syn,8

0.032
0.032
0.027
0.049
0.032
0.022
0.06
0.07
0.07
0.083
0.146
0.185
0.263
0.28
0.308
0.311
0.334
0.34900000000000003
0.35100000000000003
0.34500000000000003
0.35100000000000003
0.363
0.368
0.355
0.379
0.368
0.384
0.382
0.372
0.387
0.384
0.384
0.391
0.385
0.389
0.396
0.4
0.399
0.394
0.399
0.404
