m,b
0.010199999999999999,0.014666666666666666

x0,A,B,k
8.60932992036622,0.631,-0.02391935189611092,0.49842639865860644

Transition Syn,5

0.013000000000000001
0.02
0.042
0.048
0.057
0.061
0.10300000000000001
0.137
0.215
0.34600000000000003
0.43
0.482
0.508
0.525
0.547
0.557
0.581
0.5690000000000001
0.591
0.58
0.584
0.606
0.588
0.601
0.617
0.606
0.613
0.607
0.601
0.617
0.615
0.601
0.629
0.618
0.619
0.615
0.618
0.614
0.615
0.629
0.631
