m,b
0.003642857142857138,0.019500000000000024

x0,A,B,k
9.862375479344847,0.405,-0.03206950072807939,0.390319988687671

Transition Syn,6

0.032
0.013000000000000001
0.02
0.026000000000000002
0.037
0.048
0.037
0.042
0.093
0.125
0.158
0.263
0.28500000000000003
0.278
0.29
0.324
0.334
0.328
0.34
0.325
0.358
0.354
0.354
0.359
0.369
0.369
0.367
0.375
0.366
0.366
0.379
0.385
0.366
0.396
0.392
0.405
0.396
0.377
0.388
0.366
0.391
